country_name;year;gdp;gdp_per_capita
United States;2021;2.29961E+13;69288
Luxembourg;2021;86710803337;135683
United States;2020;2.08937E+13;63028
Luxembourg;2020;73353132794;116356
United States;2019;2.13726E+13;65095
Luxembourg;2019;70195715496;113219
United States;2018;2.05272E+13;62805
Luxembourg;2018;71285019397;117255
United States;2017;1.94796E+13;59915
Luxembourg;2017;65712180343;110193
China;2021;1.77341E+13;12556
Bermuda;2021;7080900000;110869
China;2020;1.46877E+13;10409
Bermuda;2020;6881662000;107706
China;2019;1.42799E+13;10144
Bermuda;2019;7423465000;116153
China;2018;1.38948E+13;9905
Bermuda;2018;7225977000;113051
China;2017;1.23104E+13;8817
Bermuda;2017;7142316000;111821
Japan;2021;4.93742E+12;39285
Ireland;2021;4.9856E+11;99152
Japan;2020;5.04011E+12;39918
Ireland;2020;4.25889E+11;85423
Japan;2019;5.12332E+12;40458
Ireland;2019;3.99122E+11;80887
Japan;2018;5.03784E+12;39727
Ireland;2018;3.85042E+11;79108
Japan;2017;4.93084E+12;38834
Ireland;2017;3.35431E+11;69774
Germany;2021;4.22312E+12;50802
Switzerland;2021;8.12867E+11;93457
Germany;2020;3.84641E+12;46253
Switzerland;2020;7.52248E+11;87100
Germany;2019;3.88833E+12;46795
Switzerland;2019;7.31767E+11;85335
Germany;2018;3.97729E+12;47974
Switzerland;2018;7.35539E+11;86388
Germany;2017;3.69085E+12;44653
Switzerland;2017;7.04479E+11;83352
United Kingdom;2021;3.18686E+12;47334
Norway;2021;4.82437E+11;89203
United Kingdom;2020;2.7569E+12;41098
Norway;2020;3.62198E+11;67330
United Kingdom;2019;2.87867E+12;43070
Norway;2019;4.04941E+11;75720
United Kingdom;2018;2.90079E+12;43647
Norway;2018;4.37E+11;82268
United Kingdom;2017;2.69902E+12;40858
Norway;2017;3.98394E+11;75497
India;2021;3.1734E+12;2277
Singapore;2021;3.96987E+11;72794
India;2020;2.66769E+12;1933
Singapore;2020;3.45296E+11;60729
India;2019;2.83155E+12;2072
Singapore;2019;3.75473E+11;65831
India;2018;2.70293E+12;1998
Singapore;2018;3.76998E+11;66859
India;2017;2.65147E+12;1981
Singapore;2017;3.43193E+11;61151
France;2021;2.93747E+12;43519
France;2020;2.63032E+12;39037
France;2019;2.72887E+12;40579
France;2018;2.79096E+12;41593
France;2017;2.59515E+12;38781
Italy;2021;2.09988E+12;35551
Iceland;2021;25458933916;68384
Italy;2020;1.89257E+12;31835
Iceland;2020;21718075725;59264
Italy;2019;2.01129E+12;33673
Iceland;2019;24857740445;68941
Italy;2018;2.09193E+12;34622
Iceland;2018;26267063758;74470
Italy;2017;1.9618E+12;32407
Iceland;2017;24728285177;72010
Canada;2021;1.99076E+12;52051
Denmark;2021;3.97104E+11;67803
Canada;2020;1.64542E+12;43258
Denmark;2020;3.56085E+11;61063
Canada;2019;1.74202E+12;46329
Denmark;2019;3.47561E+11;59776
Canada;2018;1.72533E+12;46549
Denmark;2018;3.56841E+11;61592
Canada;2017;1.64927E+12;45129
Denmark;2017;3.32121E+11;57610
South Korea;2021;1.79853E+12;34758
Qatar;2021;1.79571E+11;61276
South Korea;2020;1.6379E+12;31598
Qatar;2020;1.44411E+11;50124
South Korea;2019;1.65142E+12;31902
Qatar;2019;1.75838E+11;62088
South Korea;2018;1.72485E+12;33437
Qatar;2018;1.83335E+11;65908
South Korea;2017;1.6239E+12;31617
Qatar;2017;1.61099E+11;59125
Russian Federation;2021;1.7758E+12;12173
Sweden;2021;6.27438E+11;60239
Russian Federation;2020;1.48832E+12;10162
Sweden;2020;5.41487E+11;52300
Russian Federation;2019;1.69311E+12;11536
Sweden;2019;5.3388E+11;51939
Russian Federation;2018;1.65733E+12;11287
Sweden;2018;5.55455E+11;54589
Russian Federation;2017;1.5742E+12;10720
Sweden;2017;5.41019E+11;53792
Brazil;2021;1.60898E+12;7519
Australia;2021;1.54266E+12;59934
Brazil;2020;1.44857E+12;6815
Australia;2020;1.32784E+12;51680
Brazil;2019;1.87329E+12;8876
Australia;2019;1.39195E+12;54875
Brazil;2018;1.91693E+12;9151
Australia;2018;1.42853E+12;57181
Brazil;2017;2.06351E+12;9929
Australia;2017;1.32688E+12;53934
Netherlands;2021;1.01801E+12;58061
Netherlands;2020;9.13865E+11;52396
Netherlands;2019;9.10194E+11;52476
Netherlands;2018;9.14043E+11;53045
Netherlands;2017;8.3387E+11;48675
Spain;2021;1.42528E+12;30116
Finland;2021;2.99155E+11;53983
Spain;2020;1.28148E+12;27056
Finland;2020;2.71837E+11;49161
Spain;2019;1.39305E+12;29554
Finland;2019;2.68508E+11;48629
Spain;2018;1.42099E+12;30365
Finland;2018;2.75715E+11;49989
Spain;2017;1.31254E+12;28170
Finland;2017;2.55648E+11;46412
Mexico;2021;1.29304E+12;9926
Austria;2021;4.77082E+11;53268
Mexico;2020;1.08712E+12;8432
Austria;2020;4.33258E+11;48589
Mexico;2019;1.2694E+12;9950
Austria;2019;4.45012E+11;50114
Mexico;2018;1.22241E+12;9687
Austria;2018;4.55168E+11;51487
Mexico;2017;1.15891E+12;9288
Austria;2017;4.17261E+11;47429
Indonesia;2021;1.18609E+12;4292
Indonesia;2020;1.05869E+12;3871
Indonesia;2019;1.1191E+12;4135
Indonesia;2018;1.04227E+12;3894
Indonesia;2017;1.01562E+12;3838
Belgium;2021;5.99879E+11;51768
Belgium;2020;5.21677E+11;45189
