,median_house_value
5241,-10303.152327511576
17352,119146.71231828583
3505,15611.479774379695
7777,1968.8096396530163
14155,34544.16559582719
7057,5751.147070876032
33,-4119.912723994901
17049,-69701.91357593593
18164,-87006.82790034876
10444,-105169.52411718271
4652,19849.989294894738
16294,2394.654587562807
16531,27964.758370644297
18029,10826.153590241796
3492,22313.37327455345
13279,21771.08559684985
1108,16117.403607875312
2839,30993.20791391909
7888,-60446.55223793688
8658,18190.2300758732
11441,-36619.86286606506
8780,-31011.970468203595
17314,-40061.15234945997
3216,15208.243033086415
2202,39549.47930413265
3072,1265.612900041684
5878,5520.9967840343015
19452,-20839.666315521987
3009,-1573.8663053107593
19612,-8997.68149913312
6493,-56473.998725743644
10072,-32022.18667289737
5055,-4189.366630536271
9472,-10375.789285251682
19749,-6470.238862997823
18159,-47487.710867673566
14778,-6441.449735621762
5859,-579.8784245517163
12578,2514.904659380947
17231,-45935.07994371047
13952,75882.56796802333
8607,-65516.715158167644
11667,-13197.926726268517
1819,81198.11467558192
10086,-2189.46297811516
6355,15819.70328865922
11995,48710.56269787821
480,16996.710698904993
13446,3778.8661052858515
15364,-89417.4536292117
9532,8672.523831557308
3325,2295.540605761751
17164,-60696.13723265956
15608,-44275.36268409304
8793,5739.376211740251
14289,34172.70629746618
16009,68059.31060861831
19068,-48198.885730099195
9358,-96080.22469527618
19361,-7563.490553271113
14773,-9708.894070531533
5248,-20682.476969285693
18522,-25619.452060789103
17037,-48127.06174081657
5950,-34156.68882915442
4505,1715.7829954597692
16210,30203.049137048278
1940,-37215.68594827218
17373,94254.62460912747
409,67203.29118866567
18625,-61154.94255658821
8688,-12143.42278264431
3899,44877.74330480621
4178,-11989.118850586237
4366,57625.09496598097
13395,-1243.1755643544311
4429,-14769.119908770721
18584,-39566.495815118484
15301,-32314.006312500715
2927,-5746.547018370387
5966,22802.713918862428
7129,-40225.82958484927
15162,-14446.32122532418
2520,15871.366398913786
18627,14839.39071080659
10005,-149997.58575020457
6826,-18333.274694759748
8354,109542.1010407377
17149,-181434.50283836416
4439,5718.203641442349
19740,18952.683898818403
